alg,seed,K,recall_at_k,precision_at_k,f1,mrr,branches_with_true_cause,bio_recovered,psycho_recovered,social_recovered,domain_coverage_any,true_recovered,rank_first,rank_all_true
Greedy-top-K,71,8,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,9
Mapping-only,71,8,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,9
Domain-balanced random,71,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
Random,71,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
BFS-3phase,71,12,1.0,0.25,0.4,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,71,12,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.3666666666666667,2.0,1.0,1.0,0.0,2,2,1,13
Mapping-only,71,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,13
Domain-balanced random,71,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
Random,71,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
BFS-3phase,72,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4444444444444444,2.0,1.0,0.0,1.0,3,2,1,4
Greedy-top-K,72,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Mapping-only,72,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Domain-balanced random,72,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
Random,72,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,4,4
BFS-3phase,72,5,1.0,0.6,0.7499999999999999,0.5111111111111111,3.0,1.0,1.0,1.0,3,3,1,5
Greedy-top-K,72,5,0.3333333333333333,0.2,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,6
Mapping-only,72,5,0.3333333333333333,0.2,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,6
Domain-balanced random,72,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
Random,72,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
BFS-3phase,72,8,1.0,0.375,0.5454545454545454,0.5111111111111111,3.0,1.0,1.0,1.0,3,3,1,5
Greedy-top-K,72,8,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,9
Mapping-only,72,8,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,9
Domain-balanced random,72,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
Random,72,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,9,9
BFS-3phase,72,12,1.0,0.25,0.4,0.5111111111111111,3.0,1.0,1.0,1.0,3,3,1,5
Greedy-top-K,72,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,13
Mapping-only,72,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,13
Domain-balanced random,72,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
Random,72,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13,13
BFS-3phase,73,3,1.0,1.0,1.0,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,73,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4444444444444444,2.0,1.0,0.0,1.0,2,2,1,4
Mapping-only,73,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,4
Domain-balanced random,73,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,4
Random,73,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,4,4
BFS-3phase,73,5,1.0,0.6,0.7499999999999999,0.611111111111111,3.0,1.0,1.0,1.0,3,3,1,3
Greedy-top-K,73,5,1.0,0.6,0.7499999999999999,0.5277777777777778,3.0,1.0,1.0,1.0,3,3,1,4
Mapping-only,73,5,0.3333333333333333,0.2,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,1,1,1,6
Domain-balanced random,73,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,6,6
